Clone ID,Mating Type /Het /Hom,Rec Number,SystematicName,SGD ID,Gene ID,Gene Symbol,Gene Description,SGD Description,transOMIC PRC,,
Mat-alpha-YAL044C  ,Mat-alpha,10361,YAL044C  ,S000000042,851254,GCV3,"H subunit of the mitochondrial glycine decarboxylase complex, required for the catabolism of glycine to 5,10-methylene-THF; also required for all protein lipoylation; expression is regulated by levels of 5,10-methylene-THF",,MatAlpha_101_B7,,
Mat-alpha-YAL042W  ,Mat-alpha,10363,YAL042W  ,S000000040,851256,ERV46,"Protein localized to COPII-coated vesicles, forms a complex with Erv41p; involved in the membrane fusion stage of transport",,MatAlpha_101_B8,,
Mat-alpha-YAL035W  ,Mat-alpha,10371,YAL035W  ,S000000033,851196,FUN12,GTPase required for general translation initiation; promotes Met-tRNAiMet binding to ribosomes and ribosomal subunit joining; promotes GTP-dependent maturation of 18S rRNA by Nob1p; protein abundance increases in response to DNA replication stress; homolog of bacterial IF2,,MatAlpha_101_C1,,
Mat-alpha-YAL021C  ,Mat-alpha,10387,YAL021C  ,S000000019,851212,CCR4,"Component of the CCR4-NOT transcriptional complex, which is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening",,MatAlpha_101_C10,,
Mat-alpha-YAL020C  ,Mat-alpha,10388,YAL020C  ,S000000018,851213,ATS1,"Protein required, with Elongator complex, Kti11p, and Kti12p, for modification of wobble nucleosides in tRNA; has a potential role in regulatory interactions between microtubules and the cell cycle",,MatAlpha_101_C11,,
Mat-alpha-YAL019W  ,Mat-alpha,10389,YAL019W  ,S000000017,851214,FUN30,"Snf2p family member with ATP-dependent chromatin remodeling activity; has a role in silencing at the mating type locus, telomeres and centromeres; enriched at centromeres and is required for correct chromatin structure around centromeres, as well as at the boundary element of the silent HMR; recruited to DNA double-strand breaks (DSBs) where it promotes 5' strand resection of DSBs; potential Cdc28p substrate",,MatAlpha_101_C12,,
Mat-alpha-YAL034C  ,Mat-alpha,10374,YAL034C  ,S000002134,851199,FUN19,"Non-essential protein of unknown function; expression induced in response to heat stress; FUN19 has a paralog, YOR338W, that arose from the whole genome duplication",,MatAlpha_101_C2,,
Mat-alpha-YAL031C  ,Mat-alpha,10377,YAL031C  ,S000000029,851202,GIP4,Cytoplasmic Glc7-interacting protein whose overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; potential Cdc28p substrate,,MatAlpha_101_C3,,
Mat-alpha-YAL030W  ,Mat-alpha,10378,YAL030W  ,S000000028,851203,SNC1,"Vesicle membrane receptor protein (v-SNARE); involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane; proposed to be involved in endocytosis; member of the synaptobrevin/VAMP family of R-type v-SNARE proteins; SNC1 has a paralog, SNC2, that arose from the whole genome duplication",,MatAlpha_101_C4,,
Mat-alpha-YAL029C  ,Mat-alpha,10379,YAL029C  ,S000000027,851204,MYO4,"Type V myosin motor involved in actin-based transport of cargos; required for mRNA transport, including ASH1 mRNA, and facilitating the growth and movement of ER tubules into the growing bud along with She3p; MYO4 has a paralog, MYO2, that arose from the whole genome duplication",,MatAlpha_101_C5,,
Mat-alpha-YAL028W  ,Mat-alpha,10380,YAL028W  ,S000000026,851205,FRT2,"Tail-anchored ER membrane protein of unknown function; interacts with homolog Frt1p; promotes growth in conditions of high Na+, alkaline pH, or cell wall stress, possibly via a role in posttranslational translocation; potential Cdc28p substrate; FRT2 has a paralog, FRT1, that arose from the whole genome duplication",,MatAlpha_101_C6,,
Mat-alpha-YAL026C  ,Mat-alpha,10382,YAL026C  ,S000000024,851207,DRS2,Aminophospholipid translocase (flippase) that maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation and endocytosis; mutations in human homolog ATP8B1 result in liver disease,,MatAlpha_101_C7,,
Mat-alpha-YAL023C  ,Mat-alpha,10385,YAL023C  ,S000000021,851210,PMT2,"Protein O-mannosyltransferase of the ER membrane; transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; involved in ER quality control; acts in a complex with Pmt1p, can instead interact with Pmt5p; antifungal drug target; PMT2 has a paralog, PMT3, that arose from the whole genome duplication",,MatAlpha_101_C8,,
Mat-alpha-YAL022C  ,Mat-alpha,10386,YAL022C  ,S000000020,851211,FUN26,"Vacuolar membrane transporter with broad nucleoside selectivity; may regulate balance of nicotinamide riboside (NmR) levels between cytosol and vacuole, contributing to salvage of NmR for use in cytosolic NAD+ synthesis",,MatAlpha_101_C9,,
Mat-alpha-YAL018C  ,Mat-alpha,10390,YAL018C  ,S000000016,851215,YAL018C,Putative protein of unknown function,,MatAlpha_101_D1,,
Mat-alpha-YAL007C  ,Mat-alpha,10401,YAL007C  ,S000000005,851226,ERP2,"Member of the p24 family involved in ER to Golgi transport; similar to Emp24p and Erv25p; forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p; localized to COPII-coated vesicles; ERP2 has a paralog, ERP4, that arose from the whole genome duplication",,MatAlpha_101_D10,,
Mat-alpha-YAL004W  ,Mat-alpha,10402,YAL004W  ,S000002136,,,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps verified gene SSA1/YAL005C",MatAlpha_101_D11,,
Mat-alpha-YAL005C  ,Mat-alpha,10403,YAL005C  ,S000000004,851259,SSA1,"ATPase involved in protein folding and NLS-directed nuclear transport; member of HSP70 family; forms chaperone complex with Ydj1p; localized to nucleus, cytoplasm, and cell wall; 98% identical with paralog Ssa2p, but subtle differences between the two proteins provide functional specificity with respect to propagation of yeast [URE3] prions and vacuolar-mediated degradations of gluconeogenesis enzymes; general targeting factor of Hsp104p to prion fibrils",,MatAlpha_101_D12,,
Mat-alpha-YAL017W  ,Mat-alpha,10391,YAL017W  ,S000000015,851216,PSK1,"PAS domain-containing serine/threonine protein kinase; coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status; PSK1 has a paralog, PSK2, that arose from the whole genome duplication",,MatAlpha_101_D2,,
Mat-alpha-YAL015C  ,Mat-alpha,10393,YAL015C  ,S000000013,851218,NTG1,"DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase; involved in base excision repair; acts in both nucleus and mitochondrion; creates a double-strand break at mtDNA origins that stimulates replication in response to oxidative stress; NTG1 has a paralog, NTG2, that arose from the whole genome duplication",,MatAlpha_101_D3,,
Mat-alpha-YAL014C  ,Mat-alpha,10394,YAL014C  ,S000000012,851219,SYN8,Endosomal SNARE related to mammalian syntaxin 8,,MatAlpha_101_D4,,
Mat-alpha-YAL013W  ,Mat-alpha,10395,YAL013W  ,S000000011,851220,DEP1,"Transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes, as well as maintenance of telomeres, mating efficiency, and sporulation",,MatAlpha_101_D5,,
Mat-alpha-YAL011W  ,Mat-alpha,10397,YAL011W  ,S000000009,851222,SWC3,"Protein of unknown function, component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae",,MatAlpha_101_D6,,
Mat-alpha-YAL010C  ,Mat-alpha,10398,YAL010C  ,S000000008,851223,MDM10,"Subunit of both the ERMES complex that links the ER to mitochondria, and of the mitochondrial sorting and assembly machinery (SAM complex) that functions in import and assembly of outer membrane beta-barrel proteins",,MatAlpha_101_D7,,
Mat-alpha-YAL009W  ,Mat-alpha,10399,YAL009W  ,S000000007,851224,SPO7,"Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme, regulates nuclear growth by controlling phospholipid biosynthesis, required for normal nuclear envelope morphology, premeiotic replication, and sporulation",,MatAlpha_101_D8,,
Mat-alpha-YAL008W  ,Mat-alpha,10400,YAL008W  ,S000000006,851225,FUN14,Mitochondrial protein of unknown function,,MatAlpha_101_D9,,
Mat-alpha-YAL002W  ,Mat-alpha,10405,YAL002W  ,S000000002,851261,VPS8,Membrane-binding component of the CORVET complex; involved in endosomal vesicle tethering and fusion in the endosome to vacuole protein targeting pathway; interacts with Vps21p; contains RING finger motif,,MatAlpha_101_E1,,
Mat-alpha-YAR028W  ,Mat-alpha,10420,YAR028W  ,S000000076,851280,YAR028W,"Putative integral membrane protein, member of DUP240 gene family; GFP-fusion protein is induced in response to the DNA-damaging agent MMS",,MatAlpha_101_E10,,
Mat-alpha-YAR029W  ,Mat-alpha,10421,YAR029W  ,S000000077,851281,YAR029W,Member of DUP240 gene family but contains no transmembrane domains; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern,,MatAlpha_101_E11,,
Mat-alpha-YAR031W  ,Mat-alpha,10422,YAR031W  ,S000000078,851282,PRM9,"Pheromone-regulated protein; contains 3 predicted transmembrane segments and an FF sequence, a motif involved in COPII binding; member of DUP240 gene family; PRM9 has a paralog, PRM8, that arose from a segmental duplication",,MatAlpha_101_E12,,
Mat-alpha-YAR002W  ,Mat-alpha,10407,YAR002W  ,S000000063,851263,NUP60,FG-nucleoporin component of central core of the nuclear pore complex (NPC); contributes directly to nucleocytoplasmic transport and maintenance of the NPC permeability barrier and is involved in gene tethering at the nuclear periphery; relocalizes to the cytosol in response to hypoxia; both NUP1 and NUP60 are homologous to human NUP153,,MatAlpha_101_E2,,
Mat-alpha-YAR003W  ,Mat-alpha,10408,YAR003W  ,S000000064,851265,SWD1,"Subunit of the COMPASS (Set1C) complex, which methylates histone H3 on lysine 4 and is required in transcriptional silencing near telomeres; WD40 beta propeller superfamily member with similarity to mammalian Rbbp7",,MatAlpha_101_E3,,
Mat-alpha-YAR014C  ,Mat-alpha,10413,YAR014C  ,S000000069,851271,BUD14,Protein involved in bud-site selection; Bud14p-Glc7p complex is a cortical regulator of dynein; inhibitor of the actin assembly factor Bnr1p (formin); diploid mutants display a random budding pattern instead of the wild-type bipolar pattern; relative distribution to the nucleus increases upon DNA replication stress,,MatAlpha_101_E4,,
Mat-alpha-YAR015W  ,Mat-alpha,10414,YAR015W  ,S000000070,851272,ADE1,"N-succinyl-5-aminoimidazole-4-carboxamide ribotide (SAICAR) synthetase, required for 'de novo' purine nucleotide biosynthesis; red pigment accumulates in mutant cells deprived of adenine; protein abundance increases in response to DNA replication stress",,MatAlpha_101_E5,,
Mat-alpha-YAR018C  ,Mat-alpha,10415,YAR018C  ,S000000071,851273,KIN3,Nonessential serine/threonine protein kinase; possible role in DNA damage response; influences tolerance to high levels of ethanol,,MatAlpha_101_E6,,
Mat-alpha-YAR020C  ,Mat-alpha,10417,YAR020C  ,S000000073,851275,PAU7,"Member of the seripauperin multigene family, active during alcoholic fermentation, regulated by anaerobiosis, inhibited by oxygen, repressed by heme",,MatAlpha_101_E7,,
Mat-alpha-YAR023C  ,Mat-alpha,10418,YAR023C  ,S000000074,851276,YAR023C,"Putative integral membrane protein, member of DUP240 gene family",,MatAlpha_101_E8,,
Mat-alpha-YAR027W  ,Mat-alpha,10419,YAR027W  ,S000000075,851279,UIP3,Putative integral membrane protein of unknown function; interacts with Ulp1p at the nuclear periphery; member of DUP240 gene family,,MatAlpha_101_E9,,
Mat-alpha-YAR030C  ,Mat-alpha,10423,YAR030C  ,S000001821,,,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YAR029W and the verified gene PRM9",MatAlpha_101_F1,,
Mat-alpha-YLL002W  ,Mat-alpha,11490,YLL002W  ,S000003925,850658,RTT109,Histone acetyltransferase critical for cell survival in the presence of DNA damage during S phase; acetylates H3-K56 and H3-K9; involved in non-homologous end joining and in regulation of Ty1 transposition; interacts physically with Vps75p,,MatAlpha_101_F10,,
Mat-alpha-YLL005C  ,Mat-alpha,11493,YLL005C  ,S000003928,850655,SPO75,"Meiosis-specific protein of unknown function, required for spore wall formation during sporulation; dispensable for both nuclear divisions during meiosis",,MatAlpha_101_F11,,
Mat-alpha-YLL010C  ,Mat-alpha,11498,YLL010C  ,S000003933,850650,PSR1,"Plasma membrane associated protein phosphatase; involved in the general stress response; required along with binding partner Whi2p for full activation of STRE-mediated gene expression, possibly through dephosphorylation of Msn2p; PSR1 has a paralog, PSR2, that arose from the whole genome duplication",,MatAlpha_101_F12,,
Mat-alpha-YAR035W  ,Mat-alpha,10425,YAR035W  ,S000000080,851285,YAT1,"Outer mitochondrial carnitine acetyltransferase, minor ethanol-inducible enzyme involved in transport of activated acyl groups from the cytoplasm into the mitochondrial matrix; phosphorylated",,MatAlpha_101_F2,,
Mat-alpha-YAR042W  ,Mat-alpha,10428,YAR042W  ,S000000081,851286,SWH1,"Protein similar to mammalian oxysterol-binding protein; contains ankyrin repeats; localizes to the Golgi and the nucleus-vacuole junction; SWH1 has a paralog, OSH2, that arose from the whole genome duplication",,MatAlpha_101_F5,,
Mat-alpha-YAR047C  ,Mat-alpha,10431,YAR047C  ,S000000083,,,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",MatAlpha_101_F8,,
Mat-alpha-YLL001W  ,Mat-alpha,11489,YLL001W  ,S000003924,850686,DNM1,Dynamin-related GTPase required for mitochondrial fission and morphology; assembles on the cytoplasmic face of mitochondrial tubules at sites at which division will occur; also participates in endocytosis and regulating peroxisome abundance,,MatAlpha_101_F9,,
Mat-alpha-YLL012W  ,Mat-alpha,11500,YLL012W  ,S000003935,850648,YEH1,"Steryl ester hydrolase; one of three gene products (Yeh1p, Yeh2p, Tgl1p) responsible for steryl ester hydrolase activity and involved in sterol homeostasis; localized to lipid particle membranes; YEH1 has a paralog, YEH2, that arose from the whole genome duplication",,MatAlpha_101_G1,,
Mat-alpha-YLL023C  ,Mat-alpha,11511,YLL023C  ,S000003946,850637,POM33,"Transmembrane nucleoporin; involved in nuclear pore complex (NPC) distribution, assembly or stabilization; highly conserved across species, orthologous to human TMEM33 and paralogous to Per33p; protein abundance increases in response to DNA replication stress",,MatAlpha_101_G10,,
Mat-alpha-YLL024C  ,Mat-alpha,11512,YLL024C  ,S000003947,850636,SSA2,"ATP binding protein involved in protein folding and vacuolar import of proteins; member of heat shock protein 70 (HSP70) family; associated with the chaperonin-containing T-complex; present in the cytoplasm, vacuolar membrane and cell wall; 98% identical with paralog Ssa1p, but subtle differences between the two proteins provide functional specificity with respect to propagation of yeast [URE3] prions and vacuolar-mediated degradations of gluconeogenesis enzymes",,MatAlpha_101_G11,,
Mat-alpha-YLL025W  ,Mat-alpha,11513,YLL025W  ,S000003948,850635,PAU17,"Protein of unknown function, member of the seripauperin multigene family encoded mainly in subtelomeric regions; YLL025W is not an essential gene",,MatAlpha_101_G12,,
Mat-alpha-YLL013C  ,Mat-alpha,11501,YLL013C  ,S000003936,850647,PUF3,"Protein of the mitochondrial outer surface, links the Arp2/3 complex with the mitochore during anterograde mitochondrial movement; also binds to and promotes degradation of mRNAs for select nuclear-encoded mitochondrial proteins",,MatAlpha_101_G2,,
Mat-alpha-YLL014W  ,Mat-alpha,11502,YLL014W  ,S000003937,850646,EMC6,"Member of conserved ER transmembrane complex; required for efficient folding of proteins in the ER; null mutant displays induction of the unfolded protein response; homologous to worm F33D4.7/EMC-6, fly CG11781, human TMEM93",,MatAlpha_101_G3,,
Mat-alpha-YLL015W  ,Mat-alpha,11503,YLL015W  ,S000003938,850645,BPT1,"ABC type transmembrane transporter of MRP/CFTR family, found in vacuolar membrane, involved in the transport of unconjugated bilirubin and in heavy metal detoxification via glutathione conjugates, along with Ycf1p",,MatAlpha_101_G4,,
Mat-alpha-YLL016W  ,Mat-alpha,11504,YLL016W  ,S000003939,850644,SDC25,pseudo,,MatAlpha_101_G5,,
Mat-alpha-YLL017W  ,Mat-alpha,11505,YLL017W  ,S000003940,2827706,YLL017W,pseudo,,MatAlpha_101_G6,,
Mat-alpha-YLL019C  ,Mat-alpha,11507,YLL019C  ,S000003942,850641,KNS1,"Protein kinase involved in negative regulation of PolIII transcription; effector kinase of the TOR signaling pathway and phosphorylates Rpc53p to regulate ribosome and tRNA biosynthesis; member of the LAMMER family of protein kinases, which are serine/threonine kinases also capable of phosphorylating tyrosine residues; capable of autophosphorylation",,MatAlpha_101_G7,,
Mat-alpha-YLL020C  ,Mat-alpha,11508,YLL020C  ,S000003943,,,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene KNS1",MatAlpha_101_G8,,
Mat-alpha-YLL021W  ,Mat-alpha,11509,YLL021W  ,S000003944,850639,SPA2,"Component of the polarisome; functions in actin cytoskeletal organization during polarized growth; acts as a scaffold for Mkk1p and Mpk1p cell wall integrity signaling components; potential Cdc28p substrate; SPA2 has a paralog, SPH1, that arose from the whole genome duplication",,MatAlpha_101_G9,,
Mat-alpha-YLL026W  ,Mat-alpha,11514,YLL026W  ,S000003949,850633,HSP104,"Disaggregase; heat shock protein that cooperates with Ydj1p (Hsp40) and Ssa1p (Hsp70) to refold and reactivate previously denatured, aggregated proteins; responsive to stresses including: heat, ethanol, and sodium arsenite; involved in [PSI+] propagation; protein becomes more abundant and forms cytoplasmic foci in response to DNA replication stress",,MatAlpha_101_H1,,
Mat-alpha-YLL043W  ,Mat-alpha,11531,YLL043W  ,S000003966,850683,FPS1,"Plasma membrane channel, member of major intrinsic protein (MIP) family; involved in efflux of glycerol and in uptake of acetic acid and the trivalent metalloids arsenite and antimonite; phosphorylated by Hog1p MAPK under acetate stress",,MatAlpha_101_H10,,
Mat-alpha-YLL045C  ,Mat-alpha,11533,YLL045C  ,S000003968,850682,RPL8B,"Ribosomal 60S subunit protein L8B; mutation results in decreased amounts of free 60S subunits; homologous to mammalian ribosomal protein L7A, no bacterial homolog; RPL8B has a paralog, RPL8A, that arose from the whole genome duplication",,MatAlpha_101_H11,,
Mat-alpha-YLL046C  ,Mat-alpha,11534,YLL046C  ,S000003969,850680,RNP1,"Ribonucleoprotein that contains two RNA recognition motifs (RRM); RNP1 has a paralog, SBP1, that arose from the whole genome duplication",,MatAlpha_101_H12,,
Mat-alpha-YLL028W  ,Mat-alpha,11516,YLL028W  ,S000003951,850631,TPO1,"Polyamine transporter of the major facilitator superfamily; member of the 12-spanner drug:H(+) antiporter DHA1 family; recognizes spermine, putrescine, and spermidine; catalyzes uptake of polyamines at alkaline pH and excretion at acidic pH; phosphorylation enhances activity and sorting to the plasma membrane",,MatAlpha_101_H2,,
Mat-alpha-YLL029W  ,Mat-alpha,11517,YLL029W  ,S000003952,850630,FRA1,"Protein involved in negative regulation of transcription of iron regulon; forms an iron independent complex with Fra2p, Grx3p, and Grx4p; cytosolic; mutant fails to repress transcription of iron regulon and is defective in spore formation",,MatAlpha_101_H4,,
Mat-alpha-YLL032C  ,Mat-alpha,11520,YLL032C  ,S000003955,850627,YLL032C,"Protein of unknown function that may interact with ribosomes, based on co-purification experiments; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YLL032C is not an essential gene",,MatAlpha_101_H5,,
Mat-alpha-YLL038C  ,Mat-alpha,11526,YLL038C  ,S000003961,850621,ENT4,"Protein of unknown function, contains an N-terminal epsin-like domain; proposed to be involved in the trafficking of Arn1p in the absence of ferrichrome",,MatAlpha_101_H6,,
Mat-alpha-YLL039C  ,Mat-alpha,11527,YLL039C  ,S000003962,850620,UBI4,"Ubiquitin; becomes conjugated to proteins, marking them for selective degradation via the ubiquitin-26S proteasome system; essential for the cellular stress response; encoded as a polyubiquitin precursor comprised of 5 head-to-tail repeats; protein abundance increases in response to DNA replication stress",,MatAlpha_101_H7,,
Mat-alpha-YLL040C  ,Mat-alpha,11528,YLL040C  ,S000003963,850619,VPS13,"Protein of unknown function; heterooligomeric or homooligomeric complex; peripherally associated with membranes; involved in sporulation, vacuolar protein sorting, prospore membrane formation and protein-Golgi retention; homologous to human CHAC and COH1 which are involved in chorea acanthocytosis and Cohen syndrome, respectively",,MatAlpha_101_H8,,
Mat-alpha-YLL041C  ,Mat-alpha,11529,YLL041C  ,S000003964,850685,SDH2,"Iron-sulfur protein subunit of succinate dehydrogenase (Sdh1p, Sdh2p, Sdh3p, Sdh4p), which couples the oxidation of succinate to the transfer of electrons to ubiquinone as part of the TCA cycle and the mitochondrial respiratory chain",,MatAlpha_101_H9,,
Mat-alpha-YLL047W  ,Mat-alpha,11535,YLL047W  ,S000003970,,,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps verified gene RNP1",MatAlpha_102_A1,,
Mat-alpha-YLL058W  ,Mat-alpha,11546,YLL058W  ,S000003981,850668,YLL058W,"Putative protein of unknown function with similarity to Str2p, which is a cystathionine gamma-synthase important in sulfur metabolism; YLL058W is not an essential gene",,MatAlpha_102_A10,,
Mat-alpha-YLL060C  ,Mat-alpha,11548,YLL060C  ,S000003983,850666,GTT2,"Glutathione S-transferase capable of homodimerization; functional overlap with Gtt2p, Grx1p, and Grx2p; protein abundance increases in response to DNA replication stress",,MatAlpha_102_A11,,
Mat-alpha-YLL061W  ,Mat-alpha,11549,YLL061W  ,S000003984,850665,MMP1,"High-affinity S-methylmethionine permease, required for utilization of S-methylmethionine as a sulfur source; has similarity to S-adenosylmethionine permease Sam3p",,MatAlpha_102_A12,,
Mat-alpha-YLL051C  ,Mat-alpha,11539,YLL051C  ,S000003974,850675,FRE6,Putative ferric reductase with similarity to Fre2p; expression induced by low iron levels,,MatAlpha_102_A3,,
Mat-alpha-YLL052C  ,Mat-alpha,11540,YLL052C  ,S000003975,850674,AQY2,"Water channel that mediates the transport of water across cell membranes, only expressed in proliferating cells, controlled by osmotic signals, may be involved in freeze tolerance; disrupted by a stop codon in many S. cerevisiae strains",,MatAlpha_102_A4,,
Mat-alpha-YLL053C  ,Mat-alpha,11541,YLL053C  ,S000003976,850673,YLL053C,Putative protein; in the Sigma 1278B strain background YLL053C is contiguous with AQY2 which encodes an aquaporin,,MatAlpha_102_A5,,
Mat-alpha-YLL054C  ,Mat-alpha,11542,YLL054C  ,S000003977,850672,YLL054C,"Putative protein of unknown function with similarity to Pip2p, an oleate-specific transcriptional activator of peroxisome proliferation; YLL054C is not an essential gene",,MatAlpha_102_A6,,
