Clone ID,Mating Type /Het /Hom,Rec Number,SystematicName,SGD ID,Gene ID,Gene Symbol,Gene Description,SGD Description,transOMIC PRC
MATa-YIL021W,Mat-a,21414,YIL021W,S000001283,854791,RPB3,"RNA polymerase II third largest subunit B44, part of central core; similar to prokaryotic alpha subunit",NA,1 F_12
MATa-YIL046W,Mat-a,21439,YIL046W,S000001308,854765,MET30,"F-box protein containing five copies of the WD40 motif, controls cell cycle function, sulfur metabolism, and methionine biosynthesis as part of the ubiquitin ligase complex; interacts with and regulates Met4p, localizes within the nucleus",NA,1 G_1
MATa-YIL078W,Mat-a,21471,YIL078W,S000001340,854732,THS1,"Threonyl-tRNA synthetase, essential cytoplasmic protein",NA,1 G_2
MATa-YIL126W,Mat-a,22285,YIL126W,S000001388,854680,STH1,ATPase component of the RSC chromatin remodeling complex; required for expression of early meiotic genes; essential helicase-related protein homologous to Snf2p,NA,1 G_4
MATa-YIL142W,Mat-a,22301,YIL142W,S000001404,854664,CCT2,"Subunit beta of the cytosolic chaperonin Cct ring complex, related to Tcp1p, required for the assembly of actin and tubulins in vivo",NA,1 G_5
MATa-YIR010W,Mat-a,22346,YIR010W,S000001449,854827,DSN1,Essential component of the MIND kinetochore complex (Mtw1p Including Nnf1p-Nsl1p-Dsn1p) which joins kinetochore subunits contacting DNA to those contacting microtubules; important for chromosome segregation,NA,1 G_7
MATa-YIR012W,Mat-a,22348,YIR012W,S000001451,854829,SQT1,Protein involved in 60S ribosomal subunit assembly or modification; contains multiple WD repeats; interacts with Qsr1p in a two-hybrid assay; protein abundance increases in response to DNA replication stress,NA,1 G_8
MATa-YJL014W,Mat-a,26782,YJL014W,S000003551,853438,CCT3,"Subunit of the cytosolic chaperonin Cct ring complex, related to Tcp1p, required for the assembly of actin and tubulins in vivo",NA,1 G_9
MATa-YJL076W,Mat-a,21347,YJL076W,S000003612,853369,NET1,"Core subunit of the RENT complex; involved in nucleolar silencing and telophase exit; stimulates transcription by RNA polymerase I and regulates nucleolar structure; NET1 has a paralog, TOF2, that arose from the whole genome duplication",NA,1 H_2
MATa-YJR112W,Mat-a,26917,YJR112W,S000003873,853576,NNF1,Essential component of the MIND kinetochore complex (Mtw1p Including Nnf1p-Nsl1p-Dsn1p) which joins kinetochore subunits contacting DNA to those contacting microtubules; required for accurate chromosome segregation,NA,1 H_4
MATa-YKL042W,Mat-a,24891,YKL042W,S000001525,853824,SPC42,"Central plaque component of spindle pole body (SPB); involved in SPB duplication, may facilitate attachment of the SPB to the nuclear membrane",NA,1 H_5
MATa-YKL059C,Mat-a,24908,YKL059C,S000001542,853806,MPE1,"Essential conserved subunit of CPF cleavage and polyadenylation factor; plays a role in 3' end formation of mRNA via the specific cleavage and polyadenylation of pre-mRNA, contains a putative RNA-binding zinc knuckle motif; relocalizes to the cytosol in response to hypoxia",NA,1 H_7
MATa-YKL125W,Mat-a,24975,YKL125W,S000001608,853734,RRN3,Protein required for transcription of rDNA by RNA polymerase I; transcription factor independent of DNA template; involved in recruitment of RNA polymerase I to rDNA; structure reveals unique HEAT repeat fold and a surface serine patch; phosphorylation of serine patch impairs cell growth and reduces RNA polymerase I binding in vitro and RNA polymerase I recruitment to the rDNA gene in vivo,NA,1 H_8
MATa-YKL172W,Mat-a,25022,YKL172W,S000001655,853682,EBP2,"Required for 25S rRNA maturation and 60S ribosomal subunit assembly; localizes to the nucleolus and in foci along nuclear periphery; constituent of 66S pre-ribosomal particles; cooperates with Rrs1p and Mps3p to mediate telomere clustering by binding Sir4p, but is not involved in telomere tethering",NA,1 H_10
MATa-YKL173W,Mat-a,25023,YKL173W,S000001656,853681,SNU114,GTPase component of U5 snRNP involved in mRNA splicing via spliceosome; binds directly to U5 snRNA; proposed to be involved in conformational changes of the spliceosome; similarity to ribosomal translocation factor EF-2,NA,1 H_11
MATa-YKL196C,Mat-a,25046,YKL196C,S000001679,853638,YKT6,"Vesicle membrane protein (v-SNARE) with acyltransferase activity; involved in trafficking to and within the Golgi, endocytic trafficking to the vacuole, and vacuolar fusion; membrane localization due to prenylation at the carboxy-terminus",NA,1 H_12
MATa-YKR008W,Mat-a,25079,YKR008W,S000001716,853877,RSC4,"Component of the RSC chromatin remodeling complex; found in close proximity to nucleosomal DNA; displaced from the surface of nucleosomal DNA after chromatin remodeling; acetylated (K25) by Gcn5p, altering replication stress tolerance; contains tandem bromodomains that recognize histone H3 acetylated on K14 (H3K14ac) by Gcn5p",NA,2 A_1
MATa-YKR037C,Mat-a,25108,YKR037C,S000001745,853909,SPC34,"Essential subunit of the Dam1 complex (aka DASH complex), couples kinetochores to the force produced by MT depolymerization thereby aiding in chromosome segregation; also localized to nuclear side of spindle pole body",NA,2 A_2
MATa-YKR083C,Mat-a,25999,YKR083C,S000001791,853958,DAD2,"Essential subunit of the Dam1 complex (aka DASH complex), couples kinetochores to the force produced by MT depolymerization thereby aiding in chromosome segregation; is transferred to the kinetochore prior to mitosis",NA,2 A_3
MATa-YLL003W,Mat-a,21491,YLL003W,S000003926,850657,SFI1,"Centrin (Cdc31p)-binding protein required for spindle pole body (SPB) duplication, localizes to the half-bridge of the SPB, required for progression through G(2)-M transition, has similarity to Xenopus laevis XCAP-C",NA,2 A_5
MATa-YLL008W,Mat-a,21496,YLL008W,S000003931,850652,DRS1,"Nucleolar DEAD-box protein required for ribosome assembly and function, including synthesis of 60S ribosomal subunits; constituent of 66S pre-ribosomal particles",NA,2 A_6
MATa-YLL034C,Mat-a,21522,YLL034C,S000003957,850625,RIX7,"Putative ATPase of the AAA family, required for export of pre-ribosomal large subunits from the nucleus; distributed between the nucleolus, nucleoplasm, and nuclear periphery depending on growth conditions",NA,2 A_7
MATa-YLR008C,Mat-a,21563,YLR008C,S000003998,850694,PAM18,Constituent of the import motor (PAM complex) component of the Translocase of the Inner Mitochondrial membrane (TIM23 complex); essential J-protein cochaperone that stimulates Ssc1p ATPase activity to drive import; inhibited by Pam16p,NA,2 A_8
MATa-YLR163C,Mat-a,24112,YLR163C,S000004153,850860,MAS1,"Smaller subunit of the mitochondrial processing protease (MPP), essential processing enzyme that cleaves the N-terminal targeting sequences from mitochondrially imported proteins",NA,2 A_11
MATa-YLR175W,Mat-a,24124,YLR175W,S000004165,850872,CBF5,"Pseudouridine synthase catalytic subunit of box H/ACA small nucleolar ribonucleoprotein particles (snoRNPs), acts on both large and small rRNAs and on snRNA U2; mutations in human ortholog dyskerin cause the disorder dyskeratosis congenita",NA,2 A_12
MATa-YLR272C,Mat-a,25181,YLR272C,S000004262,850977,YCS4,"Subunit of the condensin complex; required for establishment and maintenance of chromosome condensation, chromosome segregation, chromatin binding of condensin, tRNA gene clustering at the nucleolus, and silencing at the mating type locus; required for replication slow zone (RSZ) breakage following Mec1p inactivation",NA,2 B_2
MATa-YLR277C,Mat-a,25186,YLR277C,S000004267,850983,YSH1,"Putative endoribonuclease; subunit of the mRNA cleavage and polyadenylation specificity complex; required for 3' processing, splicing, and transcriptional termination of mRNAs and snoRNAs; protein abundance increases in response to DNA replication stress; YSH1 has a paralog, SYC1, that arose from the whole genome duplication",NA,2 B_3
MATa-YLR298C,Mat-a,25208,YLR298C,S000004289,851005,YHC1,"Component of the U1 snRNP complex required for pre-mRNA splicing; putative ortholog of human U1C protein, which is involved in formation of a complex between U1 snRNP and the pre-mRNA 5' splice site",NA,2 B_4
MATa-YML015C,Mat-a,20558,YML015C,S000004477,854993,TAF11,"TFIID subunit (40 kDa), involved in RNA polymerase II transcription initiation, similar to histone H3 with atypical histone fold motif of Spt3-like transcription factors",NA,2 B_5
MATa-YML046W,Mat-a,26951,YML046W,S000004509,854960,PRP39,"U1 snRNP protein involved in splicing, contains multiple tetriatricopeptide repeats",NA,2 B_6
MATa-YML049C,Mat-a,20522,YML049C,S000004513,854956,RSE1,Protein involved in pre-mRNA splicing; component of the pre-spliceosome; associates with U2 snRNA; involved in ER to Golgi transport,NA,2 B_7
MATa-YML098W,Mat-a,26496,YML098W,S000004564,854875,TAF13,"TFIID subunit (19 kDa), involved in RNA polymerase II transcription initiation, similar to histone H4 with atypical histone fold motif of Spt3-like transcription factors",NA,2 B_10
MATa-YML114C,Mat-a,26514,YML114C,S000004582,854926,TAF8,"TFIID subunit (65 kDa), involved in RNA polymerase II transcription initiation",NA,2 B_11
MATa-YMR005W,Mat-a,20580,YMR005W,S000004607,855017,TAF4,"TFIID subunit (48 kDa), involved in RNA polymerase II transcription initiation; potential Cdc28p substrate",NA,2 B_12
MATa-YMR043W,Mat-a,20619,YMR043W,S000004646,855060,MCM1,Transcription factor involved in cell-type-specific transcription and pheromone response; plays a central role in the formation of both repressor and activator complexes; relocalizes to the cytosol in response to hypoxia,NA,2 C_2
MATa-YMR061W,Mat-a,26194,YMR061W,S000004665,855083,RNA14,"Component of the cleavage and polyadenylation factor I (CF I); CF 1, composed of the CF 1A complex (Rna14p, Rna15p, Clp1p, Pcf11p) and Hrp1, is involved in cleavage and polyadenylation of mRNA 3' ends; bridges interaction between Rna15p and Hrp1p in the CF I complex; mutant displays reduced transcription elongation in the G-less-based run-on (GLRO) assay; required for gene looping; relocalizes to the cytosol in response to hypoxia",NA,2 C_3
MATa-YMR146C,Mat-a,20727,YMR146C,S000004754,855177,TIF34,"eIF3i subunit of the core complex of translation initiation factor 3 (eIF3), which is essential for translation; stimulates rate of ribosomal scanning during translation reinitiation",NA,2 C_4
MATa-YMR197C,Mat-a,20783,YMR197C,S000004810,855237,VTI1,"Protein involved in cis-Golgi membrane traffic; v-SNARE that interacts with two t-SNARES, Sed5p and Pep12p; required for multiple vacuolar sorting pathways",NA,2 C_5
MATa-YMR203W,Mat-a,20789,YMR203W,S000004816,855243,TOM40,"Component of the TOM (translocase of outer membrane) complex; responsible for recognition and initial import steps for all mitochondrially directed proteins; constitutes the core element of the protein conducting pore; pre-Tom40p is phosphorylated by PKA, which impairs its import into mitochondria under non-respiratory conditions",NA,2 C_6
MATa-YMR227C,Mat-a,20813,YMR227C,S000004840,855267,TAF7,"TFIID subunit (67 kDa), involved in RNA polymerase II transcription initiation",NA,2 C_7
MATa-YMR239C,Mat-a,20825,YMR239C,S000004852,855280,RNT1,"Nuclear dsRNA-specific ribonuclease (RNase III); involved in rDNA transcription, rRNA processing and U2 snRNA 3' end formation by cleavage of a stem-loop structure at the 3' end of U2 snRNA; involved in polyadenylation-independent transcription termination; involved in the cell wall stress response, regulating the degradation of cell wall integrity and morphogenesis checkpoint genes",NA,2 C_8
MATa-YMR270C,Mat-a,20856,YMR270C,S000004883,855312,RRN9,"Protein involved in promoting high level transcription of rDNA, subunit of UAF (upstream activation factor) for RNA polymerase I",NA,2 C_9
MATa-YMR277W,Mat-a,20863,YMR277W,S000004890,855320,FCP1,Carboxy-terminal domain (CTD) phosphatase; essential for dephosphorylation of the repeated C-terminal domain of the RNA polymerase II large subunit (Rpo21p); relocalizes to the cytosol in response to hypoxia,NA,2 C_10
MATa-YNL007C,Mat-a,25335,YNL007C,S000004952,855725,SIS1,Type II HSP40 co-chaperone that interacts with the HSP70 protein Ssa1p; not functionally redundant with Ydj1p due to due to substrate specificity; has similarity to bacterial DnaJ proteins; protein abundance increases in response to DNA replication stress,NA,2 C_11
MATa-YNL026W,Mat-a,25352,YNL026W,S000004971,855705,SAM50,"Essential component of the Sorting and Assembly Machinery (SAM or TOB complex) of the mitochondrial outer membrane, which binds precursors of beta-barrel proteins and facilitates their outer membrane insertion; homologous to bacterial Omp85",NA,2 C_12
MATa-YNL188W,Mat-a,22024,YNL188W,S000005132,855533,KAR1,"Essential protein involved in karyogamy during mating and in spindle pole body duplication during mitosis, localizes to the half-bridge of the spindle pole body, interacts with Spc72p during karyogamy, also interacts with Cdc31p",NA,2 D_2
MATa-YNL189W,Mat-a,22023,YNL189W,S000005133,855532,SRP1,"Karyopherin alpha homolog, forms a dimer with karyopherin beta Kap95p to mediate import of nuclear proteins, binds the nuclear localization signal of the substrate during import; may also play a role in regulation of protein degradation",NA,2 D_3
MATa-YNL221C,Mat-a,21991,YNL221C,S000005165,855500,POP1,"Subunit of both RNase MRP and nuclear RNase P; RNase MRP cleaves pre-rRNA, while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs; binds to the RPR1 RNA subunit in RNase P",NA,2 D_4
MATa-YNL251C,Mat-a,21193,YNL251C,S000005195,855470,NRD1,"RNA-binding protein, subunit of Nrd1 complex (Nrd1p-Nab3p-Sen1p); complex interacts with the exosome to mediate 3&#8242; end formation of some mRNAs, snRNAs, snoRNAs, and CUTs; interacts with the C-terminal domain of the RNA polymerase II large subunit (Rpo21p), preferentially at phosphorylated Ser5, to direct transcription termination of non-polyadenylated transcripts; H3K4 trimethylation of transcribed regions by Set1p enhances recruitment of Nrd1p to those sites",NA,2 D_5
MATa-YNL261W,Mat-a,21183,YNL261W,S000005205,855460,ORC5,"Subunit of the origin recognition complex, which directs DNA replication by binding to replication origins and is also involved in transcriptional silencing",NA,2 D_6
MATa-YNR016C,Mat-a,25391,YNR016C,S000005299,855750,ACC1,"Acetyl-CoA carboxylase, biotin containing enzyme; catalyzes carboxylation of cytosolic acetyl-CoA to form malonyl-CoA and regulates histone acetylation by regulating the availablity of acetyl-CoA; required for de novo biosynthesis of long-chain fatty acids; ACC1 has a paralog, HFA1, that arose from the whole genome duplication",NA,2 D_7
MATa-YNR035C,Mat-a,25410,YNR035C,S000005318,855771,ARC35,"Subunit of the ARP2/3 complex, which is required for the motility and integrity of cortical actin patches; required for cortical localization of calmodulin",NA,2 D_8
MATa-YNR043W,Mat-a,25418,YNR043W,S000005326,855779,MVD1,"Mevalonate pyrophosphate decarboxylase, essential enzyme involved in the biosynthesis of isoprenoids and sterols, including ergosterol; acts as a homodimer",NA,2 D_9
MATa-YNR053C,Mat-a,26080,YNR053C,S000005336,855789,NOG2,Putative GTPase that associates with pre-60S ribosomal subunits in the nucleolus and is required for their nuclear export and maturation,NA,2 D_10
MATa-YOL123W,Mat-a,26273,YOL123W,S000005483,853997,HRP1,"Subunit of cleavage factor I, a five-subunit complex required for the cleavage and polyadenylation of pre-mRNA 3' ends; RRM-containing heteronuclear RNA binding protein and hnRNPA/B family member that binds to poly (A) signal sequences",NA,2 D_11
MATa-YOL149W,Mat-a,26658,YOL149W,S000005509,854016,DCP1,Subunit of the Dcp1p-Dcp2p decapping enzyme complex; decapping complex removes the 5' cap structure from mRNAs prior to their degradation; enhances the activity of catalytic subunit Dcp2p; regulated by DEAD box protein Dhh1p; forms cytoplasmic foci upon DNA replication stress,NA,2 D_12
MATa-YOR046C,Mat-a,21822,YOR046C,S000005572,854211,DBP5,Cytoplasmic ATP-dependent RNA helicase of the DEAD-box family; involved in mRNA export from the nucleus; involved in translation termination; ATP/ADP cycling is regulated by Gle1p and Nup159p,NA,2 E_1
MATa-YOR056C,Mat-a,21832,YOR056C,S000005582,854221,NOB1,"Protein involved in proteasomal and 40S ribosomal subunit biogenesis; required for cleavage of the 20S pre-rRNA to generate the mature 18S rRNA; cleavage is activated by Fun12p, a GTPase and translation initiation factor; relocalizes from nucleus to nucleolus upon DNA replication stress",NA,2 E_2
MATa-YOR057W,Mat-a,21833,YOR057W,S000005583,854222,SGT1,Cochaperone protein; regulates activity of adenylyl cyclase Cyr1p; involved in kinetochore complex assembly; associates with the SCF (Skp1p/Cdc53p/F box protein) ubiquitin ligase complex; acts as a linker between Skp1p and HSP90 complexes; protein abundance increases in response to DNA replication stress,NA,2 E_3
MATa-YOR145C,Mat-a,22401,YOR145C,S000005671,854317,PNO1,"Essential nucleolar protein required for pre-18S rRNA processing, interacts with Dim1p, an 18S rRNA dimethyltransferase, and also with Nob1p, which is involved in proteasome biogenesis; contains a KH domain",NA,2 E_4
MATa-YOR151C,Mat-a,22407,YOR151C,S000005677,854322,RPB2,"RNA polymerase II second largest subunit B150, part of central core; similar to bacterial beta subunit",NA,2 E_5
MATa-YOR194C,Mat-a,22450,YOR194C,S000005720,854369,TOA1,"TFIIA large subunit; involved in transcriptional activation, acts as antirepressor or as coactivator; homologous to largest and second largest subunits of human and Drosophila TFIIA",NA,2 E_6
MATa-YOR232W,Mat-a,22488,YOR232W,S000005758,854407,MGE1,"Mitochondrial matrix cochaperone; nucleotide release factor for Ssc1p in protein translocation and folding; also acts as cochaperone for Ssq1p in folding of Fe-S cluster proteins; acts as oxidative sensor to regulate mitochondrial Ssc1p; in presence of oxidative stress, dimeric Mge1p becomes a monomer and unable to regulate Ssc1p function; homolog of E. coli GrpE and human Mge1 (GRPEL1), which also responds to oxidative stress",NA,2 E_7
MATa-YOR260W,Mat-a,22516,YOR260W,S000005786,854434,GCD1,"Gamma subunit of the translation initiation factor eIF2B, the guanine-nucleotide exchange factor for eIF2; activity subsequently regulated by phosphorylated eIF2; first identified as a negative regulator of GCN4 expression",NA,2 E_8
MATa-YOR281C,Mat-a,22537,YOR281C,S000005807,854456,PLP2,Essential protein that interacts with the CCT (chaperonin containing TCP-1) complex to stimulate actin folding; has similarity to phosducins; null mutant lethality is complemented by mouse phosducin-like protein MgcPhLP,NA,2 E_9
MATa-YOR373W,Mat-a,21670,YOR373W,S000005900,854555,NUD1,Component of the spindle pole body outer plaque; acts through the mitotic exit network to specify asymmetric spindle pole body inheritance,NA,2 E_11
MATa-YPL011C,Mat-a,22817,YPL011C,S000005932,856096,TAF3,"TFIID subunit (47 kDa), involved in promoter binding and RNA polymerase II transcription initiation",NA,2 E_12
MATa-YPL016W,Mat-a,22812,YPL016W,S000005937,856091,SWI1,"Subunit of the SWI/SNF chromatin remodeling complex; regulates transcription by remodeling chromatin; required for transcription of many genes, including ADH1, ADH2, GAL1, HO, INO1 and SUC2; can form the prion [SWI+]; human homolog ARID1A is a candidate tumor suppressor gene in breast cancer",NA,2 F_1
MATa-YPL028W,Mat-a,22800,YPL028W,S000005949,856079,ERG10,"Acetyl-CoA C-acetyltransferase (acetoacetyl-CoA thiolase), cytosolic enzyme that transfers an acetyl group from one acetyl-CoA molecule to another, forming acetoacetyl-CoA; involved in the first step in mevalonate biosynthesis",NA,2 F_2
MATa-YPL043W,Mat-a,22784,YPL043W,S000005964,856063,NOP4,"Nucleolar protein, essential for processing and maturation of 27S pre-rRNA and large ribosomal subunit biogenesis; constituent of 66S pre-ribosomal particles; contains four RNA recognition motifs (RRMs)",NA,2 F_3
